	ts	count
0	20220715_0030	1
1	20220715_0031	2
2	20220715_0033	3
3	20220715_0040	4
4	20220715_0041	5
5	20220715_0042	6
6	20220715_0043	7
7	20220715_0045	8
8	20220715_0046	9
9	20220715_0047	8
10	20220715_0048	7
11	20220715_0049	6
12	20220715_0050	5
13	20220715_0051	4
14	20220715_0052	3
15	20220715_0053	2
16	20220715_0054	1
17	20220715_0055	10
18	20220715_0056	13
19	20220715_0057	21
20	20220715_0058	33
21	20220715_0059	174
22	20220715_0100	2458
23	20220715_0101	2781
24	20220715_0102	2758
25	20220715_0103	2885
26	20220715_0104	2813
27	20220715_0105	2896
28	20220715_0106	2796
29	20220715_0107	2902
30	20220715_0108	2845
31	20220715_0109	2887
32	20220715_0110	2909
33	20220715_0111	2934
34	20220715_0112	3810
35	20220715_0113	6216
36	20220715_0114	6078
37	20220715_0115	5932
38	20220715_0116	5984
39	20220715_0117	6065
40	20220715_0118	6094
41	20220715_0119	6031
42	20220715_0120	6031
43	20220715_0121	6182
44	20220715_0122	5981
45	20220715_0123	5855
46	20220715_0124	5935
47	20220715_0125	5881
48	20220715_0126	6119
49	20220715_0127	6058
50	20220715_0128	6112
51	20220715_0129	6094
52	20220715_0130	5792
53	20220715_0131	6079
54	20220715_0132	6043
55	20220715_0133	5804
56	20220715_0134	6054
57	20220715_0135	6099
58	20220715_0136	6172
59	20220715_0137	6179
60	20220715_0138	6189
61	20220715_0139	6147
62	20220715_0140	6303
63	20220715_0141	6273
64	20220715_0142	6118
65	20220715_0143	6190
66	20220715_0144	6301
67	20220715_0145	6306
68	20220715_0146	6097
69	20220715_0147	6111
70	20220715_0148	6223
71	20220715_0149	6130
72	20220715_0150	5864
73	20220715_0151	6030
74	20220715_0152	6001
75	20220715_0153	6043
76	20220715_0154	6045
77	20220715_0155	6259
78	20220715_0156	6184
79	20220715_0157	6373
80	20220715_0158	6182
81	20220715_0159	5956
