	ts	sum_weight	sum_weight2	err
0	20220715_0100	1054150	12503341500	111818.34151873297
1	20220715_0101	1157880	12503378800	111818.50830698825
2	20220715_0102	1258530	12503385300	111818.53737194026
3	20220715_0103	1258520	12503385200	111818.5369247872
4	20220715_0104	1358650	12503386500	111818.54273777672
5	20220715_0105	1259660	12503396600	111818.58790022346
6	20220715_0106	1159910	12503399100	111818.59907904408
7	20220715_0107	1258420	12503384200	111818.5324532566
8	20220715_0108	1159150	12503391500	111818.5650954259
9	20220715_0109	1050100	12503401000	111818.60757494702
10	20220715_0110	1250310	12503403100	111818.61696515478
11	20220715_0111	1050710	12503407100	111818.6348512626
12	20220715_0112	1054460	12503544600	111819.24968447964
13	20220715_0113	1150260	12503902600	111820.85047074182
14	20220715_0114	1058740	12503887400	111820.78250486356
15	20220715_0115	1051450	12503914500	111820.90368084135
16	20220715_0116	1350530	12503905300	111820.86254362376
17	20220715_0117	1258940	12503889400	111820.79144774463
18	20220715_0118	1059230	12503892300	111820.80441492093
19	20220715_0119	1257590	12503875900	111820.73108328348
20	20220715_0120	1250590	12503905900	111820.86522648625
21	20220715_0121	1151190	12503911900	111820.89205510748
22	20220715_0122	1157540	12503875400	111820.72884756207
23	20220715_0123	1359990	12503899900	111820.83839785856
24	20220715_0124	1250250	12503902500	111820.85002359802
25	20220715_0125	1158310	12503883100	111820.76327766682
26	20220715_0126	1250410	12503904100	111820.85717789861
27	20220715_0127	1150640	12503906400	111820.86746220493
28	20220715_0128	1059310	12503893100	111820.80799207275
29	20220715_0129	1058990	12503889900	111820.7936834648
30	20220715_0130	1357590	12503875900	111820.73108328348
31	20220715_0131	1159100	12503891000	111820.79860204898
32	20220715_0132	1158940	12503889400	111820.79144774463
33	20220715_0133	1053520	12503835200	111820.54909541448
34	20220715_0134	1259280	12503892800	111820.80665064082
35	20220715_0135	1059860	12503898600	111820.83258498838
36	20220715_0136	1359980	12503899800	111820.83795071472
37	20220715_0137	1351740	12503917400	111820.91664800464
38	20220715_0138	1150990	12503909900	111820.88311223446
39	20220715_0139	1151800	12503918000	111820.91933086581
40	20220715_0140	1152970	12503929700	111820.97164664596
41	20220715_0141	1151730	12503917300	111820.9162008611
42	20220715_0142	1052310	12503923100	111820.94213518324
43	20220715_0143	1351590	12503915900	111820.9099408514
44	20220715_0144	1052750	12503927500	111820.96180949258
45	20220715_0145	1052120	12503921200	111820.93363945768
46	20220715_0146	1153550	12503935500	111820.99758095526
47	20220715_0147	1152510	12503925100	111820.95107805156
48	20220715_0148	1252740	12503927400	111820.96136234923
49	20220715_0149	1052950	12503929500	111820.97075235932
50	20220715_0150	1051180	12503911800	111820.89160796384
51	20220715_0151	1253240	12503932400	111820.98371951483
52	20220715_0152	1351870	12503918700	111820.92246087044
53	20220715_0153	1254310	12503943100	111821.03156383419
54	20220715_0154	1354310	12503943100	111821.03156383419
55	20220715_0155	1154170	12503941700	111821.02530383095
56	20220715_0156	1254970	12503949700	111821.06107527329
57	20220715_0157	1154060	12503940600	111821.02038525672
58	20220715_0158	1054240	12503942400	111821.0284338326
59	20220715_0159	1254070	12503940700	111821.02083239984
